current,old,change,Easting,Northing,LocationName,RecID,Old Name
BQ766632,BQ711622,1/07/2017,1857666,5836325,Te Mania at 87 Sharp Rd,NA,Te Mania at SH2
FO620177,FO591211,1/10/2011,1896202,5811773,Kaituna at Te Matai,4002337,Kaituna at Te Matai Rail Bridge 
MI036134,LI953392,1/07/2016,1960360,5751349,Tauranga at Omahuru (Ogilvies),4019399,Tauranga at Ranger Station
MK307635,MK283728,1/10/2014,1963072,5776357,Nukuhou at Glenholme Rd,4011646,Nukuhou at Old Quarry
DO045632,CO938527,1/06/2019,1870451,5816321,Wairoa 100m u/s Omanawa confluence,,Wairoa d/s Ruahihi Power Station
IK564876,IK555889,1/07/2015,1925589,5778832,Tarawera at Boyce Park,4010551,Tarawera at Kawerau Bridge
IK555889,IK564876,1/08/2018,1925555,5778893,Tarawera at Kawerau Bridge,4010551,Tarawera at Boyce Park
