"lake","site","date","chla_mgm3_top","DRP_mgm3_bottom","DRP_mgm3_top","NH4_mgm3_bottom","NH4_mgm3_top","NNN_mgm3_bottom","NNN_mgm3_top","secchi_m","TN_mgm3_bottom","TN_mgm3_top","TP_mg_m3_bottom","TP_mgm3_top","turb_NTU_bottom","turb_NTU_top","pH_bottom","pH_top","chla_mgm3_bottom","datetime"
"Rotoehu","3",2002-07-24,24.6,NA,4,NA,50,NA,68,2.3,NA,401,NA,17,NA,3.6,NA,7.99,NA,2002-07-23 12:00:00
"Rotoehu","3",2002-08-20,10.2,NA,7,NA,3,NA,3,2.7,NA,326,NA,22,NA,3.1,NA,8.16,NA,2002-08-19 12:00:00
"Rotoehu","3",2002-09-24,13.2,NA,8,NA,36,NA,7,2.7,NA,461,NA,31,NA,3.6,NA,7.85,NA,2002-09-23 12:00:00
"Rotoehu","3",2002-10-23,2.8,NA,19,NA,71,NA,4,3.4,NA,363,NA,24,NA,2.2,NA,7.92,NA,2002-10-22 12:00:00
"Rotoehu","3",2002-11-21,18.8,NA,NA,NA,NA,NA,0.5,2.4,NA,337.5,NA,13,NA,1.1,NA,7.5,NA,2002-11-20 12:00:00
"Rotoehu","3",2002-12-17,16.2,NA,12,NA,8,NA,0.5,1.8,NA,328.5,NA,35,NA,4.2,NA,NA,NA,2002-12-16 12:00:00
"Rotoehu","3",2003-01-21,13.3,NA,2,NA,5,NA,0.5,1.9,NA,425.5,NA,39,NA,2.8,NA,8.6,NA,2003-01-20 12:00:00
"Rotoehu","3",2003-02-20,13.5,NA,3,NA,31,NA,1,2,NA,377,NA,29,NA,3,NA,8.3,NA,2003-02-19 12:00:00
"Rotoehu","3",2003-03-21,8.4,NA,20,NA,202,NA,17,2.4,NA,665,NA,41,NA,1.9,NA,7.9,NA,2003-03-20 12:00:00
"Rotoehu","3",2003-04-15,5.6,NA,23,NA,49,NA,23,2.8,NA,607,NA,33,NA,2.4,NA,7.8,NA,2003-04-14 12:00:00
"Rotoehu","3",2003-05-28,13,NA,11,NA,106,53,52,3.2,383,548,15,24,1.8,1.8,7.9,7.9,NA,2003-05-27 12:00:00
"Rotoehu","3",2003-06-17,21,8,8,68,71,NA,63,2.8,NA,473,25,23,2.8,6.2,7.9,7.8,NA,2003-06-16 12:00:00
"Rotoehu","3",2003-07-31,21.1,2,4,10,22,18,19,2.1,401,428,32,29,1.9,4.5,8.2,8.2,NA,2003-07-30 12:00:00
"Rotoehu","3",2003-08-19,11.8,2,4,36,51,14,16,2.6,435,338,14,22,3.7,3.3,7.9,7.9,NA,2003-08-18 12:00:00
"Rotoehu","3",2003-09-17,12.7,1,2,23,21,4,5,2.3,NA,381,25,32,3.3,2.9,7.8,7.9,NA,2003-09-16 12:00:00
"Rotoehu","3",2003-10-21,6.5,5,5,2,5,1,2,3.5,252,240,20,19,2.4,2.3,8,8.2,NA,2003-10-20 12:00:00
"Rotoehu","3",2003-11-18,8.3,0.5,2,9,3,2,2,2.6,358,385,20,19,3,3,8.1,8.1,NA,2003-11-17 12:00:00
"Rotoehu","3",2003-12-16,6.8,3,5,11,15,3,2,3.2,277,454,69,22,2,1.9,8,8.2,NA,2003-12-15 12:00:00
"Rotoehu","3",2004-01-19,5.4,NA,43.5,352,2,0.5,3,4.1,729.5,338,109,36,2.7,1.21,7.4,8.6,NA,2004-01-18 12:00:00
