Site,LocationName,Time,Value,Quality,Approval,Qualifiers,Parameter,Unit,Sample_Number,Project_Id,LowerDetectionLimit,UpperDetectionLimit,Method,CollectionMethod,Lab,Error,Comment,ACTION,Samp_Comment,Cloud_Cover,Num_Swimmers,Tide_Cycle,Tide,Wind_Direction,Wind_Speed,Weather_Today,Weather_Yest,Surface_Cond,Bore_Type,Bore_Number,Bore_Collect_Method,Bore_Sampled_From,Bore_Pump_Rate,Bore_Pump_Duration,Bore_Protocol,Bore_Probe,Odour
FC231176,Rangitaiki at SH5,14/02/2023 9:54,1.4367,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-4,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,14/02/2023 12:46,1.3581,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-5,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,15/02/2023 6:39,1.245,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-6,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,15/02/2023 9:56,1.2112,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-7,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,15/02/2023 13:16,1.256,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-8,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,15/02/2023 13:46,1.2679,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-9,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,15/02/2023 17:59,1.3011,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-10,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,15/02/2023 22:17,1.2932,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-11,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,16/02/2023 2:39,1.3104,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-12,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,17/02/2023 6:41,1.3242,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-13,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,17/02/2023 11:10,1.3545,400,Validated,Autosampler,NNN (g/m^3),g/m^3,23/0432-14,23/0432,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC231176,Rangitaiki at SH5,20/02/2023 11:20,1.401,600,Validated,Routine,NNN (g/m^3),g/m^3,23/0360-1,23/0360,0.001,0,APHA 4500 NNN,NA,BoPRC,NA,NA,NA,"No black disk, unable to get reliable reading.",NA,0,NA,NA,N,LIGHT,FINE,NA,CALM,NA,NA,NA,NA,NA,NA,NA,NA,NA
